1	ウェイト	賦予自己「重量」1次。額外行動一次。
2	コンティニュー用デバフバフ削除無敵化	消除我方所有增益效果、減益效果，獲得免疫攻擊傷害1次。
3	イベント用_攻撃力50%アップ	賦予攻擊力增加50%0次。
4	イベント用_攻撃力20%アップ	賦予攻擊力增加20%0次。
1001101	燃ゆる白球	對一個敵人造成攻擊70%傷害。40%機率賦予燒傷2次。
1001102	球児の闘志	賦予自己攻擊力上升1次。
1001103	百烈打砲	對敵方全體造成攻擊120%傷害。
1001104	球児の闘志+	賦予自己攻擊力上升2次。
1002101	ハーキュリアン・パンチ	對一個敵人造成攻擊80%傷害。
1002102	ベスト・ディレクション	獲得15000 View。
1002103	メガトン・クラッシャー	對一個敵人造成攻擊150%傷害。70%機率賦予防禦力下降2次。
1002104	ベスト・ディレクション+	獲得15000 View。
1003101	スーツ・フロッギング	對一個敵人造成攻擊60%傷害。50%機率賦予防禦力下降1次。
1003102	ボディ・ソーイング	對一個敵人造成攻擊90%傷害。50%機率賦予速度下降1次。
1003103	エギュイーユ・ド・サルー	對一個敵人造成攻擊150%傷害。賦予防禦力下降2次。消除所有增益效果。
1003104	ボディ・ソーイング+	對一個敵人造成攻擊90%傷害。賦予速度下降1次。
1004101	キロボルト・スラッグ	對一個敵人造成攻擊80%傷害。
1004102	メガボルト・クラッシュ	賦予我方全體速度上升1次。賦予自己攻擊力上升1次。
1004103	ギガボルト・ブレイカー	對敵方全體造成攻擊90%傷害，且隨自己與對方的速度差增加傷害。
1004104	ギガボルト・ブレイカー+	對敵方全體造成攻擊90%傷害，且隨自己與對方的速度差增加傷害。
1005101	マシン・クラック	對一個敵人造成攻擊70%傷害。50%機率對自己賦予防禦力提升1次。
1005102	アームズ・リペアメント	恢復自己或一個友軍基礎攻擊50%的血量。賦予防禦力增加2次。
1005103	アナライズ＆スクラップ	對自己或一個友軍賦予防禦力增加、速度增加2次。
1005104	アナライズ＆スクラップ+	對自己或一個友軍賦予防禦力增加、速度增加2次。賦予攻擊力增加1次。
1008101	スパラーレ・アクア	對一個敵人造成攻擊60%傷害。40%機率賦予攻擊力下降1次。
1008102	リキエスタ・スポルト	賦予自己傷害減少2次。
1008103	マングェラ・デ・アクアリオ	對敵方全體造成攻擊90%傷害。賦予自己免疫攻擊傷害1次。
1008104	スパラーレ・アクア+	對一個敵人造成攻擊60%傷害。賦予攻擊力下降1次。
1009101	ハイパー・レスキュー	對一個敵人造成攻擊90%傷害。賦予自己2燒傷次。
1009102	デスペラード・マインド	賦予自己攻擊力上升、防禦力下降2次。
1009103	ライトスピード・フェニックス	對一個敵人造成攻擊170%傷害，且該敵人血量越少傷害增加。
1009104	ライトスピード・フェニックス+	對一個敵人造成攻擊150%傷害，且該敵人血量越少傷害增加。
1010101	教師の鉄拳	對一個敵人造成攻擊80%傷害。
1010102	担任のリーダーシップ	combo數+3。
1010103	初教戦法180°	對一個敵人造成攻擊180%傷害。
1010104	初教戦法180°+	對一個敵人造成攻擊200%傷害。
1012101	「打」の墨跡	對一個敵人造成攻擊60%傷害。 50%機率賦予攻擊力下降1次。
1012102	「耐」の墨跡	賦予自己或一個友軍嘲諷、防禦力上升2次。
1012103	九十九墨跡	對一個敵人造成攻擊120%傷害。賦予我方所有人攻擊力上升1次。
1012104	九十九墨跡+	對一個敵人造成攻擊150%傷害。賦予我方所有人攻擊力上升1次。
1013101	居合の一斬	對一個敵人造成攻擊70%傷害。40%機率賦予防禦力下降1次。
1013102	大彗星斬り	對一個敵人造成攻擊120%傷害。
1013103	獅子武者剣舞	對一個敵人造成攻擊150%傷害，且隨combo數增加傷害。
1013104	居合の一斬+	對一個敵人造成攻擊70%傷害。賦予防禦力下降1次。
1014101	ハンティング・スピリット	對一個敵人造成攻擊70%傷害。恢復自己基礎攻擊50%的血量。
1014102	サバイバー・ソウル	消除自己身上2個減益效果。賦予嘲諷2次。
1014103	ルインズ・サルベージ	對一個敵人造成攻擊120%傷害。賦予我方全體防禦力上升1次。
1014104	サバイバー・ソウル+	消除自己身上2個減益效果。賦予嘲諷2次。賦予攻擊力上升1次。
1015101	綺羅星バックブリーカー	對一個敵人造成攻擊60%傷害。獲得3000 View。
1015102	マイクパフォーマンス	對敵方全體造成攻擊70%傷害。賦予自身注目1次。
1015103	ポラリス・バスター！！	對一個敵人造成攻擊150%傷害，且隨當前View值增加傷害。
